id,phase,stream,priority,title,summary,deliverables,dependencies,acceptance
EPIC-2201,P22,STR-SEC,P1,Authentification SAML 2.0 de confiance,"Valider les assertions SAML côté serveur, mapper groupes et rôles et auditer les connexions.",Domaine SAML; adaptateur python3-saml; ACS; configuration de confiance; tests.,P07;P18,Aucun certificat ou mapping n’est injecté par le client et les assertions non conformes sont refusées.
EPIC-2202,P22,STR-SEC,P1,LDAP/IPA avancé,"Industrialiser TLS, pagination, timeouts, attributs, referrals et groupes imbriqués.",Adaptateur LDAP avancé; configuration; tests de limites et compatibilité.,P07,"Les annuaires volumineux restent bornés, sécurisés et déterministes."
EPIC-2203,P22,STR-SEC,P1,Team Sync multi-source,"Synchroniser les équipes depuis LDAP, OAuth, Auth Proxy signé et Okta sans écraser les identités locales.",Snapshots; sources; application idempotente; API/CLI; audit; timer systemd.,EPIC-2201;EPIC-2202,Une resynchronisation identique est sans effet et seules les appartenances possédées par la source changent.
EPIC-2204,P22,STR-DATA,P1,Backend Oracle Enterprise optionnel,"Ajouter Oracle pour Enterprise avec pool, Unit of Work, migration, readiness et packaging optionnel, PostgreSQL restant le défaut de toutes les éditions.",Adaptateur Oracle; migration; factory; CLI/API; tests et qualification réelle.,P06;P19,"Oracle est refusé en Lite/Pro, explicitement activé en Enterprise et aucun import/dépendance Oracle n’affecte le chemin PostgreSQL."
EPIC-2205,P22,STR-PKG,P1,Déploiement serveur standard,"Déployer identité avancée, Team Sync, secrets et backend sélectionné via openinfra.conf et systemd sans Docker.",Installateurs; services/timers; secrets Unix; migrations backend-aware; runbook.,P03;EPIC-2201-EPIC-2204,"Un hôte Linux propre installe, migre, démarre et planifie OpenInfra sans binaire Docker."
EPIC-2206,P22,STR-QA,P1,Qualification REL-12 et GATE-11,"Certifier sécurité, compatibilité, packaging, PostgreSQL, Oracle, SAML, LDAP, Team Sync et systemd.",CI dédiée; tests; qualifications externes; rapport; GATE-11.,EPIC-2201-EPIC-2205,REL-12 n’est promue qu’avec toutes les preuves locales et externes requises.
EPIC-2301,P23,STR-SEC,P0,Identité locale et chaîne de confiance offline,Créer une identité Ed25519 immuable par installation et une autorité de licence hors ligne dont la clé privée reste chiffrée et externe au produit.,"InstallationIdentity; demande signée; autorité chiffrée; trust bundle public; validation stricte des schémas, UUID, dates, clés et signatures.",P07;P18,"Toute substitution d’installation, d’entreprise, d’édition ou d’autorité est refusée de manière fail-closed."
EPIC-2302,P23,STR-DATA,P0,"Persistance, horloge et quota transactionnel","Persister le binding de licence sur JSON, PostgreSQL et Oracle et sérialiser le quota d’hôtes avec les écritures métier.",Repositories par backend; migration additive 0059; verrou FOR UPDATE; écriture atomique; last_seen_at; expiration et grâce de 30 jours.,EPIC-2301;P06;EPIC-2204,Les trois backends exposent le même état et aucune création concurrente ne dépasse le quota signé.
EPIC-2303,P23,STR-BE,P0,"Interfaces, installateurs et visibilité opérateur","Exposer bootstrap, statut, activation et renouvellement via CLI/API et intégrer le parcours offline aux installateurs et portails.",CLI offline; routes HTTP; diagnostic 402; installateurs Pro/Entreprise; exemption Lite; notifications React/statique FR/EN accessibles.,EPIC-2301;EPIC-2302;P03;P08,"Avant activation les opérations sont bloquées lorsque l’enforcement est actif, puis autorisées après import d’un entitlement valide."
EPIC-2304,P23,STR-QA,P0,Qualification GATE-12 et packaging sécurisé,"Rendre REL-13 promotable uniquement lorsque les preuves produit, sécurité, documentation, couverture et packaging sont complètes.",Politique REL-13/GATE-12; contrôleur 7/7; workflow CI; tests; runbook; OpenAPI; smoke wheel; audit d’absence de clé privée.,EPIC-2301;EPIC-2302;EPIC-2303;P18,GATE-12 refuse toute promotion incomplète et la couverture globale reste supérieure ou égale à 98 %.
EPIC-2401,P24,STR-BE,P0,"Suppression des alias CLI, API et code","Retirer les commandes, routes, liens de découverte, modules et symboles ITRM/RI/SOT sans modifier les fonctions RSOT.",CLI rsot unique; routes rsot uniques; services et commandes Rsot; modules obsolètes supprimés.,P08;P09;P23,"Les alias sont rejetés, RSOT reste fonctionnel et aucun wrapper obsolète n’est importable."
EPIC-2402,P24,STR-SEC,P0,Nettoyage RBAC et capacités édition,Supprimer les rôles et capacités de compatibilité et conserver uniquement rsot:* et core_rsot.,Politique RBAC canonique; registre de capacités canonique; tests négatifs.,EPIC-2401;P02;P07,Tout ancien rôle ou identifiant de capacité est refusé explicitement.
EPIC-2403,P24,STR-DOC,P0,Contrats et guide de migration RSOT,"Mettre à jour CDC, roadmap, documentation active et commandes opérateur avec un tableau de migration exact.",CDC 4.11; roadmap 2.4; guide de migration; release notes; OpenAPI/discovery alignés.,EPIC-2401;EPIC-2402,Aucune documentation active ne conseille un alias supprimé et les historiques restent inchangés.
EPIC-2404,P24,STR-QA,P0,Qualification GATE-13 et packaging sans alias,"Bloquer REL-14 si un alias actif, un module obsolète ou une régression RSOT subsiste.",Contrôleur GATE-13; workflow CI; tests; scan source/wheel/sdist; rapport.,EPIC-2401;EPIC-2402;EPIC-2403;P18,"GATE-13 passe 6/6, couverture >=98 % et artefacts sans alias actif."
EPIC-2501,P25,STR-QA,P0,Registre exhaustif des preuves contractuelles,Classifier chaque test CDC une seule fois et rattacher ses preuves sans ambiguïté.,Registre CSV versionné; schéma strict; métriques déterministes; traçabilité N1.,P18;P23;P24,Les 667 tests sont présents exactement une fois et aucune preuve ne manque.
EPIC-2502,P25,STR-QA,P0,Résolution des preuves automatisées,Vérifier statiquement chaque sélecteur pytest déclaré et empêcher les références fictives.,Résolveur AST; 27 sélecteurs; tests négatifs; contrôle fail-closed.,EPIC-2501,"Chaque sélecteur pointe vers un fichier, une classe et une fonction de test existants."
EPIC-2503,P25,STR-ARCH,P0,Audit contextuel et nettoyage des sources actives,"Refuser les marqueurs de complétion, secrets, alias retirés et chemins obsolètes sans faux positif sur les règles de détection.",Scanner contextuel; exclusions exactes; nettoyage caches et fichiers obsolètes; tests de régression.,EPIC-2501;P24,Les sources produit restent intégralement scannées et seuls les fichiers de règles explicitement contrôlés sont ignorés.
EPIC-2504,P25,STR-PKG,P0,Qualification REL-15 et GATE-14,"Intégrer le registre, le scanner, la documentation, la CI, le packaging et le smoke installé.",Politique; CLI openinfra-gate14; workflow; runbook; rapport JSON; wheel/sdist; smoke.,EPIC-2501;EPIC-2502;EPIC-2503;P18,GATE-14 passe 6/6 et les artefacts exposent tous les contrats sans dépendre de l’arbre source.
